client_id;montant_moyen;derniere_transaction;nb_transactions_mois;derniere_transaction_jour;cluster_name;cluster
5159288;77367;2025-08-16;6;17;Élevé montant / moyen activité / récent;20
5159335;32164;2025-08-12;9;21;Moyen montant / moyen activité / récent;10
5159343;155260;2025-08-09;10;24;VIP (montant élevé, très actifs, récents);14
5159360;50500;2025-06-25;1;69;Moyen montant / faible activité / ancien;5
5159368;8156;2025-08-05;7;28;Faible montant / moyen activité / intermédiaire;2
5159371;5960;2025-07-30;2;34;À réactiver (petit montant, anciens);15
5159379;10250;2025-08-11;4;22;Faible montant / moyen activité / récent;3
5159383;25826;2025-08-16;5;17;Moyen montant / moyen activité / récent;10
5159384;35050;2025-08-15;3;18;Moyen montant / faible activité / récent;7
5159395;21524;2025-08-18;56;15;Petits mais actifs (faible montant, très actifs);12
5159407;96304;2025-08-18;25;15;VIP (montant élevé, très actifs, récents);14
5159424;37098;2025-08-05;5;28;Moyen montant / moyen activité / intermédiaire;9
5159456;124000;2025-06-25;3;69;Premium dormants (haut montant, peu actifs, anciens);13
5159472;68050;2025-07-10;2;54;Premium dormants (haut montant, peu actifs, anciens);13
5159516;21388;2025-08-06;4;27;Faible montant / moyen activité / intermédiaire;2
5159518;1000;2025-08-03;1;30;Faible montant / faible activité / intermédiaire;0
5159521;2778;2025-06-20;2;74;À réactiver (petit montant, anciens);15
5159554;24167;2025-07-01;3;63;Moyen montant / faible activité / ancien;5
5159555;21062;2025-08-01;9;32;Faible montant / moyen activité / intermédiaire;2
5159562;9216;2025-06-23;4;71;À réactiver (petit montant, anciens);15
5159627;5025;2025-06-29;2;65;À réactiver (petit montant, anciens);15
5159629;27262;2025-08-07;4;26;Moyen montant / moyen activité / intermédiaire;9
5159641;2500;2025-08-05;1;28;Faible montant / faible activité / intermédiaire;0
5159645;34498;2025-08-15;28;18;Fidèles réguliers (activité élevée, montant moyen);4
5159662;61717;2025-08-14;3;19;Moyen montant / faible activité / récent;7
5159681;39389;2025-07-17;4;47;Moyen montant / moyen activité / ancien;8
5159691;11758;2025-07-30;7;34;À réactiver (petit montant, anciens);15
5159766;1775;2025-06-19;4;75;À réactiver (petit montant, anciens);15
5159783;41300;2025-08-12;2;21;Moyen montant / faible activité / récent;7
5159822;43717;2025-08-14;9;19;Moyen montant / moyen activité / récent;10
5159869;20000;2025-07-31;1;33;Faible montant / faible activité / intermédiaire;0
5159875;600;2025-06-18;1;76;À réactiver (petit montant, anciens);15
5159906;86200;2025-07-29;5;35;Élevé montant / moyen activité / ancien;18
5159970;110833;2025-08-05;3;28;Élevé montant / faible activité / intermédiaire;16
5159983;51036;2025-08-07;9;26;Moyen montant / moyen activité / intermédiaire;9
5159986;42532;2025-08-05;5;28;Moyen montant / moyen activité / intermédiaire;9
5159994;54976;2025-08-05;4;28;Moyen montant / moyen activité / intermédiaire;9
5160036;32037;2025-08-05;2;28;Moyen montant / faible activité / intermédiaire;6
5160069;13794;2025-08-12;4;21;Faible montant / moyen activité / récent;3
5160079;55750;2025-08-12;8;21;Moyen montant / moyen activité / récent;10
5160107;36667;2025-07-03;3;61;Moyen montant / faible activité / ancien;5
5160188;67947;2025-08-14;29;19;VIP (montant élevé, très actifs, récents);14
5160213;145040;2025-08-17;10;16;VIP (montant élevé, très actifs, récents);14
5160232;70000;2025-07-09;2;55;Premium dormants (haut montant, peu actifs, anciens);13
5160264;95750;2025-07-25;5;39;Élevé montant / moyen activité / ancien;18
5160279;40000;2025-08-07;1;26;Moyen montant / faible activité / intermédiaire;6
5160302;9902;2025-08-14;106;19;Petits mais actifs (faible montant, très actifs);12
5160309;120000;2025-06-30;1;64;Premium dormants (haut montant, peu actifs, anciens);13
5160329;16000;2025-08-11;5;22;Faible montant / moyen activité / récent;3
5160341;20273;2025-08-04;11;29;Petits mais actifs (faible montant, très actifs);12
5160434;103000;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5160441;5000;2025-07-23;1;41;À réactiver (petit montant, anciens);15
5160443;64505;2025-08-05;3;28;Élevé montant / faible activité / intermédiaire;16
5160455;21321;2025-07-31;11;33;Petits mais actifs (faible montant, très actifs);12
5160463;23250;2025-08-11;2;22;Faible montant / faible activité / récent;1
5160486;30000;2025-07-12;1;52;Moyen montant / faible activité / ancien;5
5160492;17750;2025-08-11;2;22;Faible montant / faible activité / récent;1
5160551;11828;2025-08-08;1;25;Faible montant / faible activité / intermédiaire;0
5160603;95558;2025-08-10;4;23;Élevé montant / moyen activité / intermédiaire;19
5160632;19025;2025-06-25;2;69;À réactiver (petit montant, anciens);15
5160646;85000;2025-08-13;2;20;Élevé montant / faible activité / récent;17
5160661;26167;2025-07-29;3;35;Moyen montant / faible activité / ancien;5
5160664;109180;2025-08-06;3;27;Élevé montant / faible activité / intermédiaire;16
5160793;151762;2025-08-05;4;28;Élevé montant / moyen activité / intermédiaire;19
5160808;79500;2025-08-06;4;27;Élevé montant / moyen activité / intermédiaire;19
5160816;24000;2025-08-18;2;15;Moyen montant / faible activité / récent;7
5160866;36000;2025-08-11;1;22;Moyen montant / faible activité / récent;7
5160870;16157;2025-08-05;17;28;Petits mais actifs (faible montant, très actifs);12
5160874;100000;2025-08-12;1;21;Élevé montant / faible activité / récent;17
5160975;120000;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5160979;2018;2025-07-14;3;50;À réactiver (petit montant, anciens);15
5160990;61000;2025-07-14;1;50;Moyen montant / faible activité / ancien;5
5160994;119007;2025-08-05;3;28;Élevé montant / faible activité / intermédiaire;16
5161023;65728;2025-06-20;13;74;Élevé montant / élevé activité / ancien;21
5161059;10000;2025-07-23;2;41;À réactiver (petit montant, anciens);15
5161087;18358;2025-07-26;6;38;À réactiver (petit montant, anciens);15
5161099;118293;2025-07-29;6;35;Élevé montant / moyen activité / ancien;18
5161113;17530;2025-08-08;22;25;Petits mais actifs (faible montant, très actifs);12
5161116;20000;2025-08-17;1;16;Faible montant / faible activité / récent;1
5161142;58296;2025-08-05;5;28;Moyen montant / moyen activité / intermédiaire;9
5161166;176750;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5161184;16667;2025-07-09;3;55;À réactiver (petit montant, anciens);15
5161208;25000;2025-08-18;17;15;Fidèles réguliers (activité élevée, montant moyen);4
5161228;12340;2025-08-12;13;21;Petits mais actifs (faible montant, très actifs);12
5161257;130500;2025-08-05;2;28;Élevé montant / faible activité / intermédiaire;16
5161296;17950;2025-08-11;2;22;Faible montant / faible activité / récent;1
5161301;20000;2025-08-17;1;16;Faible montant / faible activité / récent;1
5161309;32899;2025-07-09;6;55;Moyen montant / moyen activité / ancien;8
5161359;22655;2025-08-12;10;21;Petits mais actifs (faible montant, très actifs);12
5161393;750;2025-07-24;4;40;À réactiver (petit montant, anciens);15
5161408;20908;2025-08-08;53;25;Petits mais actifs (faible montant, très actifs);12
5161430;20847;2025-08-14;50;19;Petits mais actifs (faible montant, très actifs);12
5161435;76983;2025-08-02;6;31;Élevé montant / moyen activité / intermédiaire;19
5161466;135750;2025-08-13;4;20;Élevé montant / moyen activité / récent;20
5161473;106700;2025-08-12;5;21;Élevé montant / moyen activité / récent;20
5161479;39229;2025-08-11;4;22;Moyen montant / moyen activité / récent;10
5161481;17781;2025-08-11;15;22;Petits mais actifs (faible montant, très actifs);12
5161511;31369;2025-08-18;12;15;Fidèles réguliers (activité élevée, montant moyen);4
5161578;7260;2025-08-17;46;16;Petits mais actifs (faible montant, très actifs);12
5161596;114140;2025-07-26;2;38;Premium dormants (haut montant, peu actifs, anciens);13
5161625;48500;2025-07-25;2;39;Moyen montant / faible activité / ancien;5
5161642;5392;2025-07-14;19;50;Petits mais actifs (faible montant, très actifs);12
