societaire,montant_moyen,nb_transactions_mois,dernière_transaction,dernière_transaction_jour
19693,15635.5,6,2025-08-05,24
19696,154000.0,3,2025-07-28,32
19776,80000.0,2,2025-08-16,13
19781,23279.52380952381,21,2025-08-10,19
19789,23353.0,5,2025-08-05,24
19803,15050.0,2,2025-08-11,18
19830,200000.0,1,2025-08-11,18
19855,54084.117647058825,17,2025-08-18,11
19873,40150.0,2,2025-07-21,39
19874,12804.09090909091,22,2025-08-18,11
19896,115026.0,1,2025-07-01,59
19897,115175.0,3,2025-07-29,31
19898,42040.0,9,2025-08-15,14
19928,142925.0,2,2025-06-27,63
19935,67056.66666666667,9,2025-08-16,13
19941,200000.0,1,2025-07-27,33
19999,23125.0,4,2025-08-14,15
20081,67666.66666666667,6,2025-08-15,14
20089,28124.166666666668,6,2025-08-05,24
20098,58015.0,2,2025-07-26,34
20124,113734.0,5,2025-07-28,32
20133,79187.38095238095,42,2025-08-15,14
20145,22690.16129032258,31,2025-08-18,11
20173,90773.33333333333,3,2025-07-29,31
20177,76000.0,2,2025-07-13,47
20648,116000.0,1,2025-07-21,39
20749,69000.0,2,2025-08-09,20
20814,23571.25,8,2025-07-31,29
20875,17776.565217391304,46,2025-08-18,11
20926,200000.0,1,2025-06-27,63
21000,23158.125,64,2025-08-18,11
21102,23333.333333333332,6,2025-08-04,25
21199,127766.66666666667,12,2025-07-30,30
21220,2500.0,1,2025-07-29,31
21257,103500.0,2,2025-07-29,31
21259,80000.0,1,2025-08-05,24
21279,152262.5,4,2025-07-31,29
21295,68443.75,8,2025-08-08,21
21306,50466.666666666664,3,2025-08-05,24
21356,158142.85714285713,7,2025-08-07,22
21420,77333.33333333333,3,2025-08-09,20
21433,177768.0,5,2025-07-28,32
21578,70146.6,25,2025-07-28,32
21661,44210.0,2,2025-08-08,21
21699,79500.0,2,2025-08-05,24
21710,119633.33333333333,9,2025-08-17,12
21720,100000.0,1,2025-08-06,23
21793,54286.944444444445,18,2025-08-02,27
21799,38000.0,5,2025-08-02,27
21807,78392.85714285714,7,2025-08-07,22
21824,27833.333333333332,3,2025-08-01,28
21828,57897.619047619046,21,2025-08-05,24
21892,25155.0,4,2025-07-25,35
21943,157500.0,4,2025-07-27,33
21949,48500.0,4,2025-07-27,33
21973,34000.0,2,2025-07-26,34
22004,105350.0,2,2025-08-11,18
22306,103985.0,3,2025-07-30,30
22343,12500.0,1,2025-06-27,63
22351,139487.5,16,2025-08-17,12
22368,27318.18181818182,11,2025-06-25,65
22598,38363.333333333336,6,2025-06-30,60
22600,22675.25,20,2025-08-15,14
22602,39769.444444444445,9,2025-08-09,20
22616,35507.5,8,2025-08-16,13
22648,107450.0,2,2025-07-30,30
22709,38383.333333333336,3,2025-08-12,17
22773,127956.66666666667,3,2025-07-29,31
22872,104750.0,4,2025-07-28,32
22944,20681.25,4,2025-08-09,20
22976,63167.0,5,2025-08-14,15
23134,97000.0,2,2025-07-29,31
23138,127342.5,20,2025-07-19,41
23149,76364.28571428571,7,2025-08-04,25
23268,11577.857142857143,14,2025-08-14,15
23320,144000.0,2,2025-07-28,32
23326,11286.666666666666,18,2025-08-16,13
23393,9400.0,5,2025-07-30,30
23482,8300.0,4,2025-08-15,14
23535,24923.720930232557,43,2025-08-18,11
23583,10000.0,1,2025-08-15,14
23619,175750.0,4,2025-08-10,19
23630,34893.6,25,2025-08-15,14
23678,138250.0,4,2025-08-18,11
23816,72603.84615384616,13,2025-07-31,29
23887,62973.333333333336,3,2025-08-06,23
23975,82090.90909090909,11,2025-08-17,12
24005,23666.666666666668,3,2025-08-05,24
24060,193450.0,2,2025-06-25,65
24069,49200.0,5,2025-07-28,32
24137,30000.0,1,2025-07-17,43
24179,62737.857142857145,21,2025-08-16,13
24221,105925.0,4,2025-07-24,36
24302,74000.0,2,2025-07-24,36
24629,128411.72413793103,29,2025-08-12,17
24858,25732.5,2,2025-08-18,11
24913,16940.909090909092,11,2025-08-05,24
25055,44777.77777777778,9,2025-08-17,12
25077,54005.0,2,2025-07-02,58
